NJ Guide to Affordable Housing 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WARREN COUNTY,,,,,,,,,,
o,seq,ltd,source,notes,proj_no,proj_no_2,,development / aka,aka,street,street_2,,municipality,muni_2,county,comu,comu_2,ST,zip,,type,tenure,units,,property,ph_srce,area,phone,agent,agent address,area_2,phone_2,website,,program,date,seq,,
90,92918,,MtL,added,,,,Washington Gardens / Gardener Ct Apts,,101-16 Washington Gardens,705 Washington Gdns,,Washington Borough,,Warren,2121,2121,NJ,07882,,,,14,,Washington Gardens / Gardener Ct Apts,,(908),689-6977,Salem Mgt Co,"2029 Morris Av, Union  07882",,,,,MtL,9/27/2021,92918,,
91,30657,,HUD,,NJ39Q941011,031HD037,,Washington supported living apts,,intentional blank,,,Washington Borough,,Warren,2121,2121,NJ,07882,,special,rent,8,,Washington supported living apts,,(908),689-7525,Warren County ARC,"319 W Washington Av, Washington  07882",(908),689-7525,"HOME - The Arc of Warren County, NJ (arcwarren.org)",,Section 202 / MtL,,30657,,
92,50070,LD #401,USDA,,,,,Westgate Apts 1 ,Washington Ent,Kinnaman Av,,,Washington Borough,,Warren,2121,2121,NJ,07882,,family,rent,32,,Westgate Apts 1 & 2,whte_pgs,(908),835-8001,L & S Residential Mgt LLC,"108 Straube Center Blvd, ste 1-20, Pennington 08534",(609),730-8138,Home (westgate-apartments.com),,USDA / MtL,9/27/2021,50070,,
93,50071,LD #407,USDA,,,,,Westgate Apts 2 / Highland,Highland,Kinnaman Av,,,Washington Borough,,Warren,2121,2121,NJ,07882,,family,rent,36,,Westgate Apts 1 & 2,whte_pgs,(908),835-8001,L & S Residential Mgt LLC,"108 Straube Center Blvd, ste 1-20, Pennington 08534",(609),730-8138,Home (westgate-apartments.com),,USDA / MtL,9/27/2021,50071,,
94,,,,,,,Washington Tonwship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,92920,,MtL,,,,,Center for Humanistic Change of NJ group home,,intentional blank,,,Washington Township,,Warren,2122,2122,NJ,07882,,special,rent,6,,Center for Humanistic Change of NJ group home,web,(973),691-3488,Center for Humanistic of NJ Inc,"12 US Hwy 206, Stanhope 07874",,,"Center for Humanistic Change of New Jersey, Inc. | Stanhope, NJ (chcnj.org)",,MtL,9/27/2021,92920,,
96,30658,,HUD,,NJ39Q001014,031HD123,,Community Hope Inc group home,"special, 3 du",intentional blank,,,Washington Township,,Warren,2122,2122,NJ,07882,,special,rent,3,,Community Hope Inc group home,,(973),463-9600,Community Hope Inc,"959 Rte 46 E, ste 402, Parsippany 07054",(973),463-0595,Community Hope - Restoring Hope and Changing Lives Since 1985 (communityhope-nj.org),,Section 202,,30658,,
97,92921,,MtL,,,,,Fairway Mews Apts,,1-16 Bense Ct,Mine Hill Rd,,Washington Township,,Warren,2122,2122,NJ,07882,,family,rent,32,,Fairway Mews Apts,called,(908),273-2400,Diversified Properties,"350 Main Rd, ste 201, Montville 07045",(908),835-8142,,,tax credits / MtL,9/27/2021,92921,,
98,92922,,MtL,,,,,Warren County ARC group home,,intentional blank,,,Washington Township,,Warren,2122,2122,NJ,07882,,special,rent,4,,Warren County ARC group home,web,(908),689-7525,Warren County ARC,"319 W Washington Av, POB 289, Washington 07822",(908),689-7525,"HOME - The Arc of Warren County, NJ (arcwarren.org)",,MtL,9/27/2021,92922,,
99,92923,,MtL,,,,,Warren County Habitat for Humanity,,scattered sites,"64 Pleasant Valley Rd, 46 Lock St",,Washington Township,,Warren,2122,2122,NJ,07882,,,,1,,Warren County Habitat for Humanity,web,(908),835-1980,Warren County Habitat for Humanity,"384 State Rte 57 W, Washington 07882",,,,,MtL,9/27/2021,92923,,
100,,,,,,,White Township,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,92924,,MtL,,,,,White Township housing rehab,,,,,White Township,,Warren,2123,,NJ,07823,,,,2,,White Township housing rehab,web,(908),475-2093,White Township,"555 County Rte 519, Belvidere 07823",,,White Township NJ (white-township.com),,MtL,9/27/2021,92924,,
102,92925,LD,MtL,,,,,Windtryst Garden Apts,,41 County Road 519,,,White Township,Belvidere,Warren,2123,,NJ,07823,,family,rent,158,,Windtryst Apts,white,(908),475-3270,Griffin Construction,"704 E Main St, ste G, Moorestown 08507",(856),866-0600,,,USDA / MtL,9/27/2021,92925,,
x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
